,text
0,"Gelingt es uns, die Arbeit und den Wohlstand von morgen zu sichern und für Vollbeschäftigung zu sorgen? Oder finden wir uns damit ab, dass Menschen ohne Arbeit bleiben?"
1,"Überwinden wir die wachsende Ungleichheit? Oder nehmen wir es hin, dass wenige sich die höchsten Einkommen und die besten Perspektiven sichern, aber die Lasten und Risiken auf den Schultern derer liegen, die sich nicht wehren können?"
2,"Wird es uns gelingen, unser Leben und Wirtschaften so zu verändern, dass wir den menschengemachten Klimawandel aufhalten?"
3,"Nehmen wir die Gestaltung des digitalen Wandels als demokratische Gesellschaft selbst in die Hand oder bleibt es dabei, dass die Entwicklung der digitalen Welt von wenigen Technologiekonzernen diktiert wird?"
4,"Sorgen wir für gleiche Teilhabe und mehr Zusammenhalt? Oder nehmen wir es hin, dass unsere Gesellschaft immer weiter auseinanderdriftet, so dass Populisten und Nationalisten leichtes Spiel haben?"
5,"Das neue Jahrzehnt beginnt mit der Herausforderung der Corona-Pandemie. Für viele Bürger*innen und Unternehmen bedeutet diese Krise harte Einschränkungen. Umso bemerkenswerter ist die Bereitschaft, Solidarität zu üben, um uns alle zu schützen und dafür auch Einschnitte in die persönliche Freiheit zu akzeptieren."
6,"Die nächsten Monate werden uns die Rückkehr in eine neue Normalität ermöglichen, die die Beschränkungen des öffentlichen und des privaten Lebens Zug um Zug überwindet. Doch auch dann wird uns Corona noch begleiten. Vieles wird anders. Die Erfahrung dieser Krise wird sich ins kollektive Gedächtnis einschreiben."
7,"Wir alle haben erfahren, dass nichts eine persönliche Begegnung auf Dauer ersetzen kann. Wir haben aber auch gelernt, wie wir digital zusammenarbeiten und kommunizieren können. Außerdem haben mittlerweile alle erkannt, wie unabdingbar die Arbeit vieler."
8,"Menschen für unser tägliches Leben und Überleben ist, die aber bisher nicht die Wertschätzung und schon gar nicht die Bezahlung und Sicherheit bekommen, die sie verdienen. Es hat sich eindringlich bestätigt, dass Familien auf eine krisenfeste, verlässliche Infrastruktur an Bildung, Betreuung und Angeboten der Kinder- und Jugendarbeit angewiesen sind."
9,"Um die Krise zu überwinden, braucht es gemeinsame Anstrengungen. Daraus kann neuer Mut wachsen, mit dem wir die großen Aufgaben unserer Zeit zuversichtlich angehen können. Wir wollen sichern und ausbauen, was wir erarbeitet haben, wir wollen den Klimawandel bewältigen, die Arbeit von morgen schaffen, Chancen und Lasten gerecht verteilen, die Gesellschaft zusammenhalten und der Gefahr ihrer Spaltung begegnen. Wir Sozialdemokrat*innen sind entschlossen, diese Aufgaben zu bewältigen. Die meisten Bürger*innen in unserem Land eint das Bedürfnis nach Respekt, Zusammenhalt und Zuversicht für eine gute, sichere Zukunft in Deutschland und Europa."
10,"Diese Zuversicht entsteht aus dem Vertrauen, Einfluss darauf nehmen zu können, wohin sich unser Leben, wohin sich unsere Gesellschaft entwickelt. Immer mehr Bürger*innen wollen mitbestimmen, in welche Richtung wir gehen werden. Spürbar ist das in dem gewachsenen Bewusstsein um die ökologische Verantwortung, in der dringenden Sorge um den schwindenden Zusammenhalt oder in der wachsenden Kritik an Ungleichheit in unserer Gesellschaft."
11,"In der Corona-Krise wird einmal mehr überaus deutlich, dass Gewinnmaximierung und Kostenminimierung nicht das Maß aller Dinge sein dürfen. In der Wirtschaft, im Gesundheitssystem, im Bildungssystem, der Justiz und anderen wichtigen Bereichen wurde zu viel „auf Kante genäht“. Aber unsere Gesellschaft ist stabil – auch unter widrigen Umständen und in krisenhaften Situationen. Wir müssen alles dransetzen, dass es so bleibt. Die Stabilität verdanken wir der beeindruckenden Solidarität und den demokratischen Grundwerten unserer Gesellschaft. Neue Akzeptanz und neue Begeisterung sowie neuer Respekt für demokratische Institutionen entstehen durch mehr Transparenz und Beteiligung."
12,"Für den Zusammenhalt unserer Gesellschaft ist der Respekt vor der Verschiedenheit der Menschen und ihrer Lebensentwürfe eine der wichtigsten Grundlagen. Diese Vielfalt ist ein unschätzbarer Gewinn, und wir werden dafür sorgen, dass sie sich in allen Bereichen unserer Gesellschaft, in unseren Parlamenten und in den Formaten der Beteiligung angemessen widerspiegelt."
13,"Vielen in Deutschland geht es – auch im Vergleich mit anderen Ländern – wirtschaftlich gut. Aber das gilt nicht für alle und es fehlt vielen die Gewissheit, dass das auch morgen so sein wird. Mit unserer Politik werden wir dazu beitragen, dass die Ungleichheit überwunden wird, Sicherheit im Wandel garantiert ist und neue Zuversicht entsteht."
